Region,census2002,census2012,census2022,Population
Arusha,1288088,1694310,2356255,Internediate
Dar-es-salaam,2487288,4364541,5383728,Higher
Dodoma,1692025,2083588,3085625,Higher
Geita,0,1739530,2977608,Internediate
Iringa,1490892,941238,1192728,Internediate
Kagera,2028157,2458023,2989299,Internediate
Kaskazini Pemba,185326,211732,272091,Internediate
Kaskazini Unguja,136639,187455,257290,Internediate
Katavi,0,564604,1152958,Internediate
Kigoma,1674047,2127930,2470967,Internediate
Kilimanjaro,1376702,1640087,1861934,Internediate
Kusini Pemba,175471,195116,271350,Internediate
Kusini Unguja,94244,115588,195873,Internediate
Lindi,787624,864652,1194028,Internediate
Manyara,1037605,1425131,1892502,Internediate
Mara,1363397,1743830,2372015,Internediate
Mbeya,2063328,2707410,2343754,Internediate
Mjini Magharibi,3391604,615597,893169,Internediate
Morogoro,1753362,2218492,3197104,Higher
Mtwara,1124481,1270854,1634947,Internediate
Mwanza,2929644,2772509,3699872,Higher
Njombe,0,702097,889946,Low
Pwani,885017,1098668,2024947,Internediate
Rukwa,1136354,1004539,1540519,Internediate
Ruvuma,1113715,1376891,1848794,Internediate
Shinyanga,2796630,1534808,2241299,Internediate
Simiyu,5332728,1584157,2140497,Internediate
Singida,1086748,1370637,2008058,Internediate
Songwe,0,272001,1344687,Internediate
Tabora,1710465,2291623,3391679,Higher
Tanga,1636280,2045205,2615597,Internediate
